Systemization - Subsystem (Summary),Subsystem ID,Systemization - Process Plant ID,Physical Location - Area (Summary),Asset Discipline,Discipline
PS5-50-03 - Water Pre-Treatment Package,PS5-50-03,EACOP,PS5 - TZA - PS5 - Tanzania,M,E
PS5-53-04 - Water Treatment Purification Package,PS5-53-04,EACOP,PS5 - TZA - PS5 - Tanzania,M,E
PS5-71-02 - CFO Allocation Metering Package,PS5-71-02,EACOP,PS5 - TZA - PS5 - Tanzania,M,E
PS5-75-02 - Biocide Injection Package,PS5-75-02,EACOP,PS5 - TZA - PS5 - Tanzania,M,E
PS5-75-03 - Corrosion Inhibitor Injection Package,PS5-75-03,EACOP,PS5 - TZA - PS5 - Tanzania,M,E
PS5-53-03 - Water Softener Package,PS5-53-03,EACOP,PS5 - TZA - PS5 - Tanzania,M,E
PS5-82-02 - Sewage Treatment Plant Package,PS5-82-02,EACOP,PS5 - TZA - PS5 - Tanzania,M,E
PS5-09-04 - HVAC for Workshop & Warehouse,PS5-09-04,EACOP,PS5 - TZA - PS5 - Tanzania,H,H
PS5-09-01 - HVAC for Office and Facilities building,PS5-09-01,EACOP,PS5 - TZA - PS5 - Tanzania,H,H
PS5-03-23 - FZ-E1 to E3 - EITS Building,PS5-03-23,EACOP,PS5 - IDN - PS5 - Indonesia,I,I
PS5-03-24 - FZ - Office and Facilities Building,PS5-03-24,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-25 - FZ - Workshop & Warehouse,PS5-03-25,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-74-03 - Nitrogen Receiver,PS5-74-03,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-01 - FZ-01 - Process Area,PS5-03-01,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-03 - FZ-03 - Buildings Area,PS5-03-03,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-04 - FZ-04 - Utilities - Diesel and Firewater Pumps Areas,PS5-03-04,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-06 - FZ-06 - Transformer Area,PS5-03-06,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-08 - FZ-08 - Utilities - Power Generation Area - External,PS5-03-08,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-07 - FZ-07 - Pretreatment Area,PS5-03-07,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-13 - FZ-13 - Power Generation Building - Instrument Air Room,PS5-03-13,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-71-17 - Diesel Fuel Distribution Header,PS5-71-17,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-01-07 - Fire Water Ring Main & Distribution,PS5-01-07,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-74-04 - Nitrogen Distribution Header,PS5-74-04,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-08-93 - Telecom Monitoring System,PS5-08-93,EACOP,PS5 - IDN - PS5 - Indonesia,I,I
PS5-03-19 - FZ-19 - Power Generation Building - Battery Room,PS5-03-19,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-17 - FZ-17 - Power Generation Building - Generator Room 3,PS5-03-17,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-09 - FZ-09 - Power Generation Building - Engine Bay 1,PS5-03-09,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-10 - FZ-10 - Power Generation Building - Engine Bay 2,PS5-03-10,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-11 - FZ-11 - Power Generation Building - Engine Bay 3,PS5-03-11,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-12 - FZ-12 - Power Generation Building - Engine Bay 4,PS5-03-12,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-15 - FZ-15 - Power Generation Building - Generator Room 1,PS5-03-15,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-16 - FZ-16 - Power Generation Building - Generator Room 2,PS5-03-16,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-18 - FZ-18 - Power Generation Building - Generator Room 4,PS5-03-18,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-21 - FZ-21 - Power Generation Building - Air Handling Unit,PS5-03-21,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-03-20 - FZ-20 - Emergency Diesel Generator Enclosure,PS5-03-20,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-60-28 - Air Receiver A & Air Regulator A,PS5-60-28,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-60-29 - Air Receiver B & Air Regulator B,PS5-60-29,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-60-30 - Air Receiver C & Air Regulator C,PS5-60-30,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-60-31 - Air Receiver D & Air Regulator D,PS5-60-31,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-60-32 - Air Receiver E & Air Regulator E,PS5-60-32,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-60-33 - Air Receiver F & Air Regulator F,PS5-60-33,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-60-34 - Air Receiver G & Air Regulator G,PS5-60-34,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-28-05 - HP Relief Header,PS5-28-05,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-28-16 - LP Relief Header,PS5-28-16,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-82-03 - Sewage Treatment Plant Package (UCP),PS5-82-03,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-91-01 - Multicore cables & JB,PS5-91-01,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-04-02 - Office Building SIS/FGS System,PS5-04-02,EACOP,PS5 - TZA - PS5 - Tanzania,I,I
PS5-08-07 - Multi-Channel Voice Recorder,PS5-08-07,EACOP,PS5 - TZA - PS5 - Tanzania,T,E
PS5-28-09 - Observation Basin,PS5-28-09,EACOP,PS5 - TZA - PS5 - Tanzania,P,P
PS5-01-04 - Fire Water Pump Mini Flow Recycle,PS5-01-04,EACOP,PS5 - TZA - PS5 - Tanzania,P,P
PS5-01-06 - Foam Concentrate Distribution,PS5-01-06,EACOP,PS5 - TZA - PS5 - Tanzania,P,P
PS5-28-01 - Closed Drain Header 1,PS5-28-01,EACOP,PS5 - TZA - PS5 - Tanzania,P,P
PS5-28-02 - Closed Drain Header 2,PS5-28-02,EACOP,PS5 - TZA - PS5 - Tanzania,P,P
PS5-28-12 - Open Drains (OD3),PS5-28-12,EACOP,PS5 - TZA - PS5 - Tanzania,P,P
PS5-53-05 - Water Distribution Header,PS5-53-05,EACOP,PS5 - TZA - PS5 - Tanzania,P,P
PS5-53-06 - Water Distribution Consumers,PS5-53-06,EACOP,PS5 - TZA - PS5 - Tanzania,P,P
