Systemization - Subsystem (Summary),Subsystem ID,Systemization - Process Plant ID,Physical Location - Area (Summary),Asset Discipline,Discipline
PS5-06-03 - AC UPS - Office & Facilities Building,PS5-06-03,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-61-13 - Power Distribution Board Office Building - PS5-61-IG-0020,PS5-61-13,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-61-14 - Power Distribution Board Workshop & Warehouse - PS5-61-IG-0009,PS5-61-14,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-62-18 - Workshop & Warehouse Normal L&SP DB - PS5-61-IG-0004,PS5-62-18,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-62-19 - Workshop & Warehouse Emergency L&SP DB - PS5-05-IG-0101,PS5-62-19,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-01-08 - PS5 Deluge Valve Skid (PS5-01-UK-6100),PS5-01-08,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-01-02 - Fire Water Pump A,PS5-01-02,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-01-03 - Fire Water Pump B,PS5-01-03,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-01-01 - Fire Water Jockey Pump A/B,PS5-01-01,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-01-10 - Water Mist Package,PS5-01-10,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-01-11 - Inergen for Power Gen Building,PS5-01-11,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-01-05 - Foam Skid,PS5-01-05,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-03-22 - FZ-G1 - Guard House,PS5-03-22,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-03-14 - FZ-14 - Power Generation Building - Switchgear Room,PS5-03-14,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-05-02 - Emergency Diesel Generator Package (UCP),PS5-05-02,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-62-06 - CRO Generator Building Emergency Lighting DB  - PS5-05-IG-0025,PS5-62-06,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-62-07 - CRO Generator Electrical Building Emergency Lighting DB  - PS5-05-IG-0026,PS5-62-07,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-08-01 - PAGA,PS5-08-01,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-08-03 - Telephone,PS5-08-03,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-08-11 - Corporate LAN  (SIE),PS5-08-11,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-08-12 - Corporate Wireless LAN (SIE),PS5-08-12,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-08-15 - Security Data Network (SII SP3 SEC),PS5-08-15,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-08-52 - Process & Security CCTV,PS5-08-52,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-08-61 - Meteocean,PS5-08-61,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-25-01 - Export Pipeline Pig Receiver,PS5-25-01,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-25-07 - Export Pipeline Pig Launcher,PS5-25-07,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-25-06 - Crude Oil Export Pumps Discharge,PS5-25-06,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-25-05 - Crude Oil Export Pumps Bypass,PS5-25-05,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-28-17 - Reinjection Pump,PS5-28-17,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-28-03 - Closed Drain Drum and Pump 01,PS5-28-03,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-28-04 - Closed Drain Drum and Pump 02,PS5-28-04,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-28-11 - Open Drain Interceptor,PS5-28-11,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-28-13 - Seal Oil Drain Drum & Pump A,PS5-28-13,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-28-14 - Seal Oil Drain Drum & Pump B,PS5-28-14,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-28-15 - Seal Oil Drain Drum & Pump C,PS5-28-15,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-27 - Compressed Air Starting Skid,PS5-60-27,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-26 - Instrument Air Compressor Skid,PS5-60-26,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-49 - Lube Oil Separator Module PS5-60-UO-81100A,PS5-60-49,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-50 - Lube Oil Separator Module PS5-60-UO-81100B,PS5-60-50,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-51 - Lube Oil Separator Module PS5-60-UO-81100C,PS5-60-51,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-52 - Lube Oil Separator Module PS5-60-UO-81100D,PS5-60-52,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-53 - Lube Oil Separator Module PS5-60-UO-81100E,PS5-60-53,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-54 - Lube Oil Separator Module PS5-60-UO-81100F,PS5-60-54,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-55 - Lube Oil Separator Module PS5-60-UO-81100G,PS5-60-55,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-35 - Injector Tip Cooling Module A,PS5-60-35,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-36 - Injector Tip Cooling Module B,PS5-60-36,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-37 - Injector Tip Cooling Module C,PS5-60-37,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-38 - Injector Tip Cooling Module D,PS5-60-38,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-39 - Injector Tip Cooling Module E,PS5-60-39,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-40 - Injector Tip Cooling Module F,PS5-60-40,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-41 - Injector Tip Cooling Module G,PS5-60-41,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-70 - Engine A Cooling system,PS5-60-70,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-71 - Engine B Cooling system,PS5-60-71,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-72 - Engine C Cooling system,PS5-60-72,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-73 - Engine D Cooling system,PS5-60-73,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-74 - Engine E Cooling system,PS5-60-74,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-75 - Engine F Cooling system,PS5-60-75,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-76 - Engine G Cooling system,PS5-60-76,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-02 - Power Gen Package A (UCP),PS5-60-02,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-05 - Power Gen Package B (UCP),PS5-60-05,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-08 - Power Gen Package C (UCP),PS5-60-08,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-11 - Power Gen Package D (UCP),PS5-60-11,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-14 - Power Gen Package E (UCP),PS5-60-14,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-17 - Power Gen Package F (UCP),PS5-60-17,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-20 - Power Gen Package G (UCP),PS5-60-20,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-42 - Oil Mist Separator Skid PS5-60-VS-9100A,PS5-60-42,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-43 - Oil Mist Separator Skid PS5-60-VS-9100B,PS5-60-43,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-44 - Oil Mist Separator Skid PS5-60-VS-9100C,PS5-60-44,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-45 - Oil Mist Separator Skid PS5-60-VS-9100D,PS5-60-45,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-46 - Oil Mist Separator Skid PS5-60-VS-9100E,PS5-60-46,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-47 - Oil Mist Separator Skid PS5-60-VS-9100F,PS5-60-47,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-48 - Oil Mist Separator Skid PS5-60-VS-9100G,PS5-60-48,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-62-10 - CRO Generator Building Normal L&SP DB  - PS5-61-IG-0015,PS5-62-10,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-62-11 - CRO Generator Electrical Building Normal L&SP DB  - PS5-61-IG-0016,PS5-62-11,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-62-14 - Office Building Emergency L&SP DB - PS5-05-IG-0002,PS5-62-14,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-71-13 - CFO Service Pump A/B,PS5-71-13,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-71-21 - Diesel Transfer Pump A/B,PS5-71-21,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-71-05 - CFO Transfer Pump A/B,PS5-71-05,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-71-09 - CFO Pre-Pressure Modules (UCP),PS5-71-09,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-71-23 - Diesel Fuel Pre Pressure Module (UCP),PS5-71-23,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-71-08 - CFO Pre-Pressure Modules,PS5-71-08,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-71-22 - Diesel Fuel Pre Pressure Module,PS5-71-22,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-71-20 - Diesel Fuel Day Tank,PS5-71-20,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
